step,time,open,high,low,close,volume,csad,panic_level
1,2025-05-12,2960,2968,2929,2938,2050000,0.156,0.64
2,2025-05-13,2938,2948,2920,2931,1980000,0.149,0.61
3,2025-05-14,2931,2951,2926,2942,1930000,0.141,0.57
4,2025-05-15,2942,2960,2937,2954,1880000,0.133,0.53
5,2025-05-16,2954,2971,2949,2962,1840000,0.126,0.49
6,2025-05-19,2962,2978,2958,2970,1790000,0.121,0.46
7,2025-05-20,2970,2986,2965,2977,1750000,0.116,0.43
8,2025-05-21,2977,2992,2971,2981,1710000,0.113,0.41
9,2025-05-22,2981,2997,2975,2987,1680000,0.111,0.39
10,2025-05-23,2987,3002,2980,2993,1640000,0.109,0.37
11,2025-05-26,2993,3008,2987,2998,1610000,0.108,0.35
12,2025-05-27,2998,3013,2991,3004,1580000,0.106,0.33
