step,time,open,high,low,close,volume,csad,panic_level
1,2025-03-03,3000,3012,2996,3008,1280000,0.086,0.34
2,2025-03-04,3008,3021,3004,3017,1360000,0.083,0.32
3,2025-03-05,3017,3030,3012,3026,1420000,0.081,0.30
4,2025-03-06,3026,3038,3020,3032,1490000,0.079,0.29
5,2025-03-07,3032,3044,3028,3039,1550000,0.082,0.28
6,2025-03-10,3039,3050,3035,3046,1610000,0.084,0.27
7,2025-03-11,3046,3057,3040,3051,1660000,0.087,0.26
8,2025-03-12,3051,3064,3048,3058,1710000,0.089,0.25
9,2025-03-13,3058,3072,3053,3066,1760000,0.092,0.24
10,2025-03-14,3066,3078,3061,3072,1810000,0.095,0.23
11,2025-03-17,3072,3085,3068,3079,1850000,0.097,0.22
12,2025-03-18,3079,3091,3074,3086,1890000,0.099,0.21
